"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.616200080E-1,1.070434004E-1,-2.117042542E-1,-1.115770340E-1,2.621572339E-1
8.666611540E-1,1.233665943E-1,-2.037713528E-1,-9.126567841E-2,2.550911697E-1
8.717117270E-1,8.797115088E-2,-1.763869524E-1,-1.543359756E-1,2.503415142E-1
8.767623520E-1,7.500284910E-2,-1.841981411E-1,-1.979722977E-1,2.806196950E-1
8.818129770E-1,4.820972681E-2,-1.626219749E-1,-2.603855133E-1,3.107582662E-1
8.868635490E-1,2.878731489E-2,-1.640608311E-1,-3.034420013E-1,3.461527321E-1
8.919141740E-1,2.841699123E-2,-1.668879986E-1,-3.296937943E-1,3.706172249E-1
8.969706330E-1,-5.652010441E-3,-2.161781788E-1,-3.488035202E-1,4.104008357E-1
9.020212580E-1,-2.585813403E-2,-2.021270990E-1,-4.036264420E-1,4.521485507E-1
9.070718830E-1,-1.359027624E-2,-1.797484159E-1,-3.418722153E-1,3.864851876E-1
9.121225080E-1,3.567194939E-2,-1.588622332E-1,-2.523536682E-1,3.003199477E-1
9.171730810E-1,7.657951117E-2,-1.348100901E-1,-1.685380936E-1,2.290049582E-1
9.222236540E-1,1.357266009E-1,-1.173292398E-1,-1.021957397E-1,2.064747683E-1
9.272230290E-1,1.536102593E-1,-1.068197489E-1,2.054309845E-2,1.882248374E-1
9.322736540E-1,1.735755652E-1,-7.957136631E-2,1.707372665E-1,2.561470151E-1
9.373242270E-1,2.146090120E-1,-4.548323154E-2,2.294225693E-1,3.174278937E-1
9.423748520E-1,2.128025144E-1,-2.861320972E-2,2.663164139E-1,3.420936396E-1
9.474254240E-1,2.136575729E-1,-4.317224026E-2,2.982463837E-1,3.694107553E-1
9.524760490E-1,2.052228153E-1,-3.704857826E-2,2.896890640E-1,3.569436298E-1
9.574946430E-1,1.946734786E-1,-4.837048054E-2,3.074865341E-1,3.671313598E-1
9.625452160E-1,1.721512824E-1,-3.651523590E-2,2.848672867E-1,3.348414513E-1
9.675958410E-1,1.378548145E-1,1.004219055E-2,2.245750427E-1,2.637020009E-1
9.726464660E-1,1.037773490E-1,-3.731489182E-2,1.839437485E-1,2.144701423E-1
9.776970390E-1,4.573068023E-2,-3.992462158E-2,1.295156479E-1,1.430369657E-1
9.827476640E-1,-7.039308548E-4,1.776695251E-3,1.350460052E-1,1.350595265E-1
9.877982370E-1,-3.094205260E-2,-1.473343372E-2,1.145105362E-1,1.195288567E-1
9.928902680E-1,-2.852764726E-2,-5.821943283E-3,9.187889099E-2,9.638180477E-2
9.979408410E-1,6.075277925E-2,-2.373099327E-2,7.900047302E-2,1.024457660E-1
1.002991518E0,7.216680050E-2,-1.136219501E-2,4.493141174E-2,8.576700025E-2
1.008042091E0,1.514521241E-1,1.193284988E-2,7.301616669E-2,1.685571102E-1
1.013092716E0,2.218022943E-1,5.330336094E-2,1.056976318E-1,2.514149864E-1
1.018143289E0,3.048342168E-1,6.958460808E-2,1.073570251E-1,3.305925714E-1
1.023196987E0,3.793424964E-1,1.489385366E-1,1.328954697E-1,4.286544332E-1
1.028247612E0,4.719929099E-1,1.958334446E-1,2.106389999E-1,5.527176796E-1
1.033298185E0,5.166242719E-1,2.653405666E-1,2.688817978E-1,6.400028717E-1
1.038348758E0,5.472823381E-1,3.310937881E-1,2.317924500E-1,6.803446142E-1
1.043399383E0,5.334022641E-1,3.647291660E-1,2.426853180E-1,6.902474219E-1
1.048437091E0,4.376755059E-1,2.764165401E-1,9.684848785E-2,5.266360999E-1
1.053487716E0,2.134510428E-1,1.696717739E-2,-4.113626480E-1,4.637547422E-1
1.058538289E0,2.323445380E-1,8.052051067E-2,-6.808099747E-1,7.238575541E-1
1.063588862E0,6.076228619E-2,1.143999100E-1,-5.828285217E-1,5.970498141E-1
1.068639487E0,-1.697434187E-1,1.668087244E-1,-5.407171249E-1,5.907732119E-1
1.073690112E0,-1.616123915E-1,2.177416086E-1,-6.298723221E-1,6.857617045E-1
1.078775529E0,1.361646652E-1,1.818031073E-1,-6.710224152E-1,7.084237909E-1
1.083826154E0,3.794790804E-1,1.337801218E-1,-6.741294861E-1,7.850809242E-1
1.088876779E0,4.883391857E-1,1.615095139E-1,-5.444412231E-1,7.489837974E-1
1.093927404E0,5.415673256E-1,1.903781891E-1,-4.041814804E-1,7.020695778E-1
1.098977977E0,5.842399597E-1,1.958615780E-1,-3.008346558E-1,6.857110021E-1
1.104028602E0,5.927834511E-1,2.226854563E-1,-2.102298737E-1,6.672163308E-1
1.109067664E0,6.151478291E-1,2.632621527E-1,-8.469581604E-2,6.744532555E-1
1.114118289E0,5.345739126E-1,2.981758118E-1,-5.025863647E-4,6.121097413E-1
1.119168862E0,4.656875730E-1,2.773927450E-1,1.496124268E-1,5.623126611E-1
1.124219487E0,3.704315424E-1,2.724257708E-1,1.727170944E-1,4.911888872E-1
1.129270112E0,3.061133325E-1,2.022647858E-1,2.979393005E-1,4.726354226E-1
1.134320685E0,2.583923936E-1,1.763064861E-1,3.439607620E-1,4.649296849E-1
1.139382508E0,1.677971184E-1,1.468296051E-1,3.708038330E-1,4.326780425E-1
1.144433081E0,1.533674896E-1,8.996093273E-2,3.881454468E-1,4.269325990E-1
1.149483706E0,1.316467822E-1,5.072081089E-2,3.557491302E-1,3.827021291E-1
1.154534279E0,1.050975323E-1,-4.097223282E-3,3.143796921E-1,3.315069672E-1
1.159584904E0,6.915557384E-2,-4.348480701E-2,2.949991226E-1,3.061011339E-1
1.164635529E0,2.882209420E-2,-9.824216366E-2,2.142524719E-1,2.374581175E-1
1.169659435E0,-5.382552743E-2,-1.392235756E-1,1.200809479E-1,1.915719850E-1
1.174710060E0,-1.286606789E-1,-2.113367319E-1,3.154087067E-2,2.494225552E-1
1.179760685E0,-1.623216867E-1,-2.520939112E-1,-5.148220062E-2,3.042204579E-1
1.184811310E0,-2.052783668E-1,-2.849520445E-1,-1.148834229E-1,3.695065309E-1
1.189861883E0,-2.238755822E-1,-2.930490971E-1,-2.087450027E-1,4.237599860E-1
1.194912508E0,-1.990618706E-1,-2.931200266E-1,-2.663049698E-1,4.432418248E-1
1.199997977E0,-1.572378576E-1,-2.800023556E-1,-3.021898270E-1,4.409577695E-1
1.205048549E0,-1.247400045E-1,-2.870765924E-1,-2.880764008E-1,4.253951708E-1
1.210099174E0,-8.488085866E-2,-2.738305330E-1,-2.338724136E-1,3.699786843E-1
1.215149799E0,-5.652001500E-2,-2.451204062E-1,-2.563133240E-1,3.591309589E-1
1.220200372E0,-2.084162831E-2,-2.440352440E-1,-2.145805359E-1,3.256261356E-1
1.225250997E0,2.431538701E-2,-1.897315979E-1,-1.899576187E-1,2.695796992E-1
1.230315529E0,2.650177479E-2,-1.728914976E-1,-9.679031372E-2,1.999054247E-1
1.235366102E0,4.060885310E-2,-1.864231825E-1,-5.674839020E-2,1.990554237E-1
1.240416727E0,1.664856076E-2,-1.829059124E-1,-2.895164490E-2,1.859299468E-1
1.245467352E0,-7.037192583E-3,-1.603074074E-1,2.236843109E-2,1.620133749E-1
1.250517924E0,-4.517662525E-2,-1.450232267E-1,2.812004089E-2,1.544778316E-1
1.255568549E0,-1.673412323E-2,-1.348255873E-1,2.910423279E-2,1.389425285E-1
1.260613237E0,3.968557715E-2,-1.085554361E-1,2.064609528E-2,1.174116221E-1
1.265663810E0,1.022947431E-1,-1.161531210E-1,-1.620197296E-2,1.556221896E-1
1.270714435E0,5.238571763E-2,-1.383861303E-1,-2.417850494E-2,1.499319332E-1
1.275765060E0,5.966919661E-2,-1.442996264E-1,-1.539134979E-2,1.569066246E-1
1.280815633E0,3.788974881E-2,-1.363013983E-1,-1.886367798E-3,1.414823757E-1
1.285866258E0,1.586049795E-3,-1.169366837E-1,3.293418884E-2,1.214963552E-1
1.290903341E0,-3.953590989E-2,-9.355092049E-2,7.228565216E-2,1.246598508E-1
1.295953966E0,-4.015991092E-2,-6.852936745E-2,6.862068176E-2,1.049661403E-1
1.301004539E0,-6.234836578E-2,-5.853331089E-2,6.981277466E-2,1.103960629E-1
1.306055164E0,-7.719391584E-2,-7.548284531E-2,7.585525513E-2,1.319491580E-1
1.311105789E0,-1.133826077E-1,-8.825886250E-2,4.393959045E-2,1.502528873E-1
1.316156362E0,-1.041551828E-1,-6.819653511E-2,9.989738464E-3,1.248954138E-1
1.321203549E0,-8.555382490E-2,-9.400737286E-2,-1.409530640E-2,1.278887046E-1
1.326254174E0,-5.528721213E-2,-1.391780376E-1,-8.778762817E-2,1.735910990E-1
1.331304747E0,-9.449476004E-2,-8.467376232E-2,-1.180562973E-1,1.733095353E-1
1.336355372E0,-9.568411112E-2,-6.646692753E-2,-1.290531158E-1,1.738620381E-1
1.341405997E0,-7.564574480E-2,-7.227373123E-2,-1.708335876E-1,2.003244508E-1
1.346456570E0,-6.556373835E-2,-5.191254616E-2,-1.600179672E-1,1.805526684E-1
1.351508497E0,-1.514416933E-2,-5.300295353E-2,-1.588058472E-1,1.681010293E-1
1.356559070E0,-7.903933525E-3,-2.056872845E-2,-1.457633972E-1,1.474195127E-1
1.361609695E0,-5.283749104E-2,1.438140869E-2,-1.590099335E-1,1.681748623E-1
1.366660320E0,-2.130526304E-2,2.802956104E-2,-1.531896591E-1,1.571834666E-1
