"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.002665140E-1,1.320600044E-2,1.005093683E-3,6.405308843E-2
8.053177640E-1,2.066100016E-2,1.485009398E-2,6.192309409E-2
8.103660460E-1,3.131099790E-2,2.337009460E-2,6.298809499E-2
8.154150560E-1,4.302600026E-2,2.443509363E-2,6.618309021E-2
8.204675560E-1,5.687100068E-2,2.124009468E-2,7.576809078E-2
8.255205770E-1,7.071600109E-2,1.485009398E-2,8.535309136E-2
8.305737020E-1,8.562599868E-2,7.395093795E-3,9.919809550E-2
8.356238060E-1,9.308099747E-2,-1.124906237E-3,1.194330901E-1
8.406707850E-1,9.734100103E-2,-4.319906235E-3,1.386030912E-1
8.457122430E-1,9.947100282E-2,-8.579906076E-3,1.524480879E-1
8.507995870E-1,9.627600014E-2,-9.644906037E-3,1.620330960E-1
8.558341710E-1,8.882100135E-2,-7.514906116E-3,1.620330960E-1
8.608803680E-1,7.817099988E-2,-2.189906314E-3,1.588380933E-1
8.659335460E-1,6.432600319E-2,7.395093795E-3,1.503180861E-1
8.709896390E-1,5.154599994E-2,2.443509363E-2,1.396680921E-1
8.760342750E-1,4.196099937E-2,3.934509307E-2,1.279530972E-1
8.810823480E-1,3.770099953E-2,5.425509438E-2,1.194330901E-1
8.861421390E-1,3.770099953E-2,6.384009123E-2,1.141080931E-1
8.911906290E-1,4.089599848E-2,7.236009091E-2,1.066530943E-1
8.962640660E-1,4.515599832E-2,7.342509180E-2,1.066530943E-1
9.013813060E-1,5.367599800E-2,6.916508824E-2,1.077180952E-1
9.063344830E-1,6.113100052E-2,6.277509034E-2,1.109130904E-1
9.113875040E-1,6.326100230E-2,5.638509616E-2,1.183680892E-1
9.164236500E-1,6.006599963E-2,4.041009396E-2,1.215630919E-1
9.214884410E-1,5.154599994E-2,2.337009460E-2,1.215630919E-1
9.265410980E-1,3.876600042E-2,1.165509317E-2,1.162380949E-1
9.316059410E-1,2.385599911E-2,6.330093369E-3,1.119780913E-1
9.366465140E-1,4.685999826E-3,9.525093250E-3,1.055880934E-1
9.416932330E-1,-1.341899950E-2,1.378509402E-2,9.493809193E-2
9.467616710E-1,-2.939400077E-2,1.911009476E-2,8.215808868E-2
9.518013060E-1,-4.217400029E-2,2.443509363E-2,6.618309021E-2
9.568498480E-1,-5.282400176E-2,2.976009436E-2,5.127309263E-2
9.619112020E-1,-5.601900071E-2,3.295509517E-2,4.168809205E-2
9.669399520E-1,-5.708400160E-2,3.721509501E-2,3.210309148E-2
9.720290660E-1,-5.175900087E-2,4.360509291E-2,2.571309358E-2
9.770534410E-1,-4.430400208E-2,4.467009380E-2,2.464809455E-2
9.821085980E-1,-3.471900150E-2,4.147509485E-2,2.358309366E-2
9.871705770E-1,-2.939400077E-2,3.295509517E-2,2.571309358E-2
9.922569310E-1,-3.258899972E-2,2.443509363E-2,2.358309366E-2
9.973065140E-1,-4.110899940E-2,1.165509317E-2,2.358309366E-2
1.002353077E0,-5.601900071E-2,-4.319906235E-3,2.145309374E-2
1.007416150E0,-7.412400097E-2,-4.319906235E-3,1.612809300E-2
1.012459483E0,-9.435900301E-2,4.200093914E-3,9.738094173E-3
1.017507660E0,-1.103340015E-1,1.911009476E-2,1.530938316E-4
1.022569796E0,-1.220490038E-1,3.082509525E-2,-1.049690600E-2
1.027569171E0,-1.295039952E-1,4.360509291E-2,-2.114690654E-2
1.032618858E0,-1.326989979E-1,5.319009349E-2,-3.073190711E-2
1.037702139E0,-1.316339970E-1,6.384009123E-2,-4.138190299E-2
1.042712973E0,-1.284389943E-1,7.236009091E-2,-4.990190268E-2
1.047770056E0,-1.188540012E-1,7.449009269E-2,-4.990190268E-2
1.052824014E0,-1.018140018E-1,7.662009448E-2,-4.564190656E-2
1.057889639E0,-8.370900154E-2,8.194509149E-2,-4.351190478E-2
1.062938389E0,-6.773400307E-2,8.620508760E-2,-4.031690955E-2
1.067987139E0,-5.175900087E-2,8.620508760E-2,-3.818690777E-2
1.073035889E0,-4.004400223E-2,8.301009238E-2,-3.818690777E-2
1.078084691E0,-2.726400085E-2,7.449009269E-2,-3.925190866E-2
1.083133441E0,-1.661400124E-2,6.810008734E-2,-3.605690598E-2
1.088185368E0,-1.128899958E-2,5.958009511E-2,-3.392690420E-2
1.093234171E0,-5.963999778E-3,5.319009349E-2,-2.860190533E-2
1.098282921E0,-3.834000090E-3,4.147509485E-2,-2.327690646E-2
1.103331671E0,-5.963999778E-3,3.402009606E-2,-2.327690646E-2
1.108380421E0,-5.963999778E-3,2.230509371E-2,-1.795190573E-2
1.113429171E0,-7.029000204E-3,1.165509317E-2,-1.901690662E-2
1.118495004E0,-5.963999778E-3,3.135093488E-3,-1.795190573E-2
1.123543806E0,-1.022399962E-2,-5.384906661E-3,-2.008190565E-2
1.128592504E0,-1.235399954E-2,-3.254906274E-3,-2.114690654E-2
1.133641306E0,-1.448399946E-2,5.265093409E-3,-2.114690654E-2
1.138690108E0,-1.341899950E-2,9.525093250E-3,-2.008190565E-2
1.143738806E0,-1.341899950E-2,1.059009321E-2,-1.475690585E-2
1.148813441E0,-1.554899942E-2,7.395093795E-3,-9.431906044E-3
1.153862191E0,-1.661400124E-2,2.070093527E-3,-7.301906124E-3
1.158910941E0,-2.087400109E-2,-5.990627687E-5,-6.236906163E-3
1.163959743E0,-2.513400093E-2,4.200093914E-3,-5.171906203E-3
1.169008493E0,-3.045899980E-2,1.698009484E-2,-1.976906089E-3
1.174057243E0,-3.578399867E-2,2.656509541E-2,-9.119062452E-4
1.179095941E0,-4.217400029E-2,3.615009412E-2,-1.976906089E-3
1.184144691E0,-5.175900087E-2,4.041009396E-2,-9.431906044E-3
1.189193441E0,-5.495399982E-2,4.254009575E-2,-1.795190573E-2
1.194242191E0,-5.388899893E-2,3.615009412E-2,-2.753690630E-2
1.199290941E0,-4.749900103E-2,3.082509525E-2,-3.499190509E-2
1.204339743E0,-3.897900134E-2,2.550009452E-2,-4.564190656E-2
1.209409743E0,-3.152399883E-2,2.017509378E-2,-5.096690357E-2
1.214458546E0,-2.087400109E-2,1.378509402E-2,-5.629190803E-2
1.219507296E0,-7.029000204E-3,3.135093488E-3,-6.055190414E-2
1.224556046E0,3.621000098E-3,-1.124906237E-3,-6.694190949E-2
1.229604796E0,1.001100056E-2,-8.579906076E-3,-7.226690650E-2
1.234653598E0,1.427100040E-2,-1.283990685E-2,-7.652691007E-2
1.239721827E0,1.640100032E-2,-1.283990685E-2,-7.865690440E-2
1.244770577E0,1.640100032E-2,-7.514906116E-3,-8.078690618E-2
1.249819327E0,1.214100048E-2,2.070093527E-3,-8.185190707E-2
1.254868129E0,1.490999945E-3,1.698009484E-2,-8.504690975E-2
1.259916879E0,-1.448399946E-2,3.402009606E-2,-8.824190497E-2
1.264965629E0,-3.578399867E-2,5.425509438E-2,-9.143690765E-2
1.270006618E0,-5.921399966E-2,6.384009123E-2,-9.463191032E-2
1.275055368E0,-8.370900154E-2,7.023008913E-2,-9.889190644E-2
