"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.124882125E0,3.848497009E-1,1.742077332E0,9.463919678E0
1.134847125E0,3.676354980E-1,1.724563751E0,9.501641235E0
1.144813125E0,3.954776001E-1,1.666334839E0,9.529483337E0
1.154778125E0,4.782554626E-1,1.666185150E0,9.573791199E0
1.164744125E0,5.010081482E-1,1.704804840E0,9.583371277E0
1.174709125E0,4.927752686E-1,1.722468109E0,9.617799683E0
1.184675125E0,4.436773682E-1,1.694775696E0,9.600735168E0
1.194640125E0,3.962260437E-1,1.698368225E0,9.594597931E0
1.204606125E0,3.891906738E-1,1.723815308E0,9.641749878E0
1.214571125E0,4.800517273E-1,1.685944061E0,9.730365601E0
1.224537125E0,5.893244934E-1,1.668729858E0,9.747130737E0
1.234502125E0,6.665638733E-1,1.630858612E0,9.664502563E0
1.244468125E0,7.068301392E-1,1.661544800E0,9.541159058E0
1.254433125E0,6.819818115E-1,1.727407837E0,9.439520416E0
1.264399125E0,6.457571411E-1,1.748663635E0,9.486073608E0
1.274364125E0,5.005590820E-1,1.726509705E0,9.586065674E0
1.284330125E0,3.540138245E-1,1.679507446E0,9.788295135E0
1.294295125E0,1.947450256E-1,1.651066589E0,9.916728058E0
1.304261125E0,1.916015625E-1,1.572929077E0,9.963580627E0
1.314226125E0,3.088078308E-1,1.539997559E0,9.961934052E0
1.324191125E0,4.516108704E-1,1.581161957E0,9.886490936E0
1.334157125E0,6.288423157E-1,1.589843903E0,9.732461243E0
1.344122125E0,7.476951599E-1,1.630858612E0,9.592053223E0
1.354088125E0,7.556286621E-1,1.689386902E0,9.470655670E0
1.364053125E0,7.285350037E-1,1.722468109E0,9.404942322E0
1.374019125E0,6.024971008E-1,1.735041962E0,9.417067108E0
1.383984125E0,4.481680298E-1,1.711840210E0,9.427245941E0
1.393950125E0,2.884501648E-1,1.689536591E0,9.498647461E0
1.403915125E0,2.324665833E-1,1.671274567E0,9.599986725E0
1.413881125E0,2.642005920E-1,1.642384644E0,9.641151123E0
1.423846125E0,3.100053406E-1,1.637444916E0,9.646689606E0
1.433812125E0,3.835025024E-1,1.650018768E0,9.635612640E0
