"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.169726125E0,-4.841164872E-2,2.825010940E-2,4.079807550E-2
1.179692125E0,-3.523559868E-2,-3.459931538E-2,4.200664535E-2
1.189657125E0,-2.639017627E-2,-9.258592129E-2,4.290306568E-2
1.199623125E0,-1.458592154E-2,-1.495076865E-1,4.141225293E-2
1.209588125E0,6.476220675E-3,-1.667380780E-1,3.378629312E-2
1.219554125E0,3.957564756E-2,-1.293764710E-1,2.135761268E-2
1.229519125E0,4.482846335E-2,-6.024320796E-2,2.739987802E-3
1.239485125E0,1.599868760E-2,3.505590931E-2,-1.552684885E-2
1.249450125E0,-3.989414126E-2,1.243863180E-1,-2.878619358E-2
1.259416125E0,-9.777438641E-2,1.870799363E-1,-2.221789211E-2
1.269381125E0,-1.225191429E-1,2.217447162E-1,-1.164034754E-2
1.279347125E0,-1.041878834E-1,1.816520244E-1,8.028881624E-3
1.289312125E0,-5.630397797E-2,9.696242213E-2,4.592406750E-2
1.299278125E0,7.200089283E-3,-5.418619607E-3,7.652746886E-2
1.309243125E0,6.437788904E-2,-9.573201090E-2,8.942489326E-2
1.319209125E0,1.134146675E-1,-1.512967646E-1,7.912719250E-2
1.329174125E0,1.259403080E-1,-1.470721960E-1,4.259821400E-2
1.339140125E0,9.791928530E-2,-9.105399996E-2,1.187156420E-3
1.349105125E0,4.922098666E-2,6.474417634E-3,-3.305390477E-2
1.359071125E0,-1.888512261E-2,1.062017381E-1,-4.201049358E-2
1.369036125E0,-7.218429446E-2,1.876276284E-1,-3.308224678E-2
1.379002125E0,-9.203590453E-2,2.105565965E-1,-9.274863638E-3
1.388967125E0,-7.811716199E-2,1.648391783E-1,2.338481136E-2
1.398933125E0,-4.349465296E-2,7.563546300E-2,5.193168670E-2
1.408898125E0,1.796950586E-2,-2.143968269E-2,6.706722826E-2
1.418864125E0,6.594251841E-2,-1.045568809E-1,7.520986348E-2
1.428829125E0,8.906434476E-2,-1.693750322E-1,6.386559457E-2
1.438794125E0,8.934834599E-2,-1.837667972E-1,3.406448290E-2
1.448760125E0,6.022028625E-2,-1.219252795E-1,-1.063854061E-2
1.458725125E0,1.141846646E-2,-2.416954562E-2,-5.258345231E-2
1.468691125E0,-5.404523015E-2,8.235662431E-2,-7.688639313E-2
1.478656125E0,-1.125967652E-1,1.590581983E-1,-8.664035797E-2
1.488622125E0,-1.364104748E-1,2.015981972E-1,-7.457011193E-2
1.498587125E0,-1.211871579E-1,1.760923564E-1,-5.843528733E-2
1.508553125E0,-7.808709145E-2,1.101149395E-1,-3.189715371E-2
1.518518125E0,-2.540048584E-2,2.641674131E-2,-1.697931904E-3
1.528484125E0,3.504315019E-2,-4.643376544E-2,2.168915048E-2
1.538449125E0,9.634757787E-2,-7.976868004E-2,3.364595771E-2
1.548415125E0,1.308589429E-1,-8.257458359E-2,2.987359278E-2
1.558380125E0,1.235177964E-1,-4.466400668E-2,1.801511832E-2
1.568346125E0,7.317819446E-2,2.129503712E-2,-4.254766740E-3
1.578311125E0,4.364806227E-3,8.322264999E-2,-1.946577057E-2
1.588277125E0,-6.093004346E-2,1.183580011E-1,-3.208302706E-2
1.598242125E0,-9.559680521E-2,1.112353951E-1,-4.490146413E-2
1.608208125E0,-9.826529771E-2,7.705452293E-2,-4.613211006E-2
1.618173125E0,-8.097454906E-2,4.051684216E-2,-3.271743283E-2
1.628146000E0,-4.605064914E-2,1.180956513E-2,1.060506329E-3
1.638111000E0,3.227067646E-4,-3.540363163E-3,3.807444870E-2
1.648077000E0,3.355735913E-2,-1.452616788E-2,7.037646323E-2
1.658042000E0,4.283803701E-2,-1.609912142E-2,8.633778989E-2
1.668008000E0,4.216904938E-2,-1.562853903E-2,8.382269740E-2
1.677973000E0,3.062299639E-2,-2.078903653E-2,4.905366525E-2
1.687939000E0,1.424695365E-2,-2.786600729E-3,4.600981716E-3
1.697904000E0,-6.562951021E-3,2.058643661E-2,-2.989823185E-2
1.707869000E0,-3.894006461E-2,5.794179812E-2,-4.178711772E-2
1.717835000E0,-6.312879175E-2,7.523682714E-2,-3.137326613E-2
1.727800000E0,-6.483987719E-2,7.053793967E-2,-1.444328390E-2
1.737766000E0,-4.029924423E-2,3.951393813E-2,1.076738071E-2
1.747731000E0,4.044250585E-3,7.653476670E-3,3.889994696E-2
1.757697000E0,5.100463331E-2,-1.065318752E-2,6.071077287E-2
1.767662000E0,7.658349723E-2,-2.108745277E-2,8.266640455E-2
1.777628000E0,7.879978418E-2,-2.272396162E-2,8.863647282E-2
1.787593000E0,5.311120301E-2,-1.592491195E-2,6.791042536E-2
1.797559000E0,1.658363268E-2,-6.215650588E-3,2.647763491E-2
1.807524000E0,-2.545463294E-2,-9.614999872E-4,-1.757184789E-2
1.817490000E0,-4.999544844E-2,1.572336257E-2,-4.510523006E-2
1.827455000E0,-5.708638206E-2,3.328637779E-2,-4.744827747E-2
1.837421000E0,-4.338273406E-2,3.241729736E-2,-3.195013851E-2
1.847386000E0,-1.318940986E-2,2.535139956E-2,-2.680134494E-3
1.857352000E0,2.086456120E-2,1.400978025E-2,3.270491585E-2
1.867317000E0,5.241210014E-2,-2.432589233E-2,6.870233268E-2
1.877283000E0,7.568682730E-2,-7.156123966E-2,7.703547925E-2
1.887248000E0,9.080585837E-2,-9.640587121E-2,7.179731131E-2
1.897214000E0,7.816560566E-2,-1.024426445E-1,4.105144739E-2
1.907179000E0,3.785254061E-2,-5.852258578E-2,3.181337379E-4
1.917145000E0,-1.496518496E-3,-4.489017650E-3,-1.931252517E-2
1.927110000E0,-3.171993420E-2,5.201793462E-2,-1.747893915E-2
1.937075000E0,-4.569595307E-2,8.265969157E-2,-7.785889320E-3
1.947041000E0,-4.122104496E-2,7.768810540E-2,3.808981273E-3
1.957006000E0,-2.876089700E-2,5.653196201E-2,6.585125346E-3
1.966972000E0,-1.761583425E-2,3.064177558E-2,1.925658900E-3
1.976937000E0,-1.125930995E-2,7.438926026E-3,-4.932324402E-3
1.986903000E0,-6.454169285E-3,-2.282816544E-2,-4.495033063E-3
1.996868000E0,3.345907433E-3,-4.455923662E-2,2.521940041E-3
2.006834000E0,2.770451084E-2,-4.923894256E-2,2.119145356E-4
