"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.014014220E-1,1.473960131E-1,-6.395991147E-2,2.866380811E-1
8.064392340E-1,1.527210027E-1,-4.265990481E-2,2.845080793E-1
8.114911090E-1,1.559160054E-1,-2.242490463E-2,2.855730951E-1
8.165387130E-1,1.623060107E-1,-4.319906235E-3,2.877030969E-1
8.215893900E-1,1.676310003E-1,1.485009398E-2,2.877030969E-1
8.266405360E-1,1.708260030E-1,3.295509517E-2,2.919631004E-1
8.317041820E-1,1.697610021E-1,4.254009575E-2,2.940931022E-1
8.367415780E-1,1.686960012E-1,5.319009349E-2,2.930280864E-1
8.418154840E-1,1.676310003E-1,6.384009123E-2,2.898330986E-1
8.468550670E-1,1.633710116E-1,7.129509002E-2,2.845080793E-1
8.519037130E-1,1.591110080E-1,8.620508760E-2,2.706630826E-1
8.569555880E-1,1.505910009E-1,1.085700914E-1,2.536230981E-1
8.620147550E-1,1.431360096E-1,1.298701018E-1,2.333880961E-1
8.671090780E-1,1.303560138E-1,1.469101012E-1,2.099580914E-1
8.721242340E-1,1.133159995E-1,1.575600952E-1,1.843980849E-1
8.771720990E-1,9.521099925E-2,1.575600952E-1,1.577730924E-1
8.822192340E-1,7.071600109E-2,1.586250961E-1,1.364730895E-1
8.872725670E-1,4.941599816E-2,1.575600952E-1,1.194330901E-1
8.923287650E-1,3.131099790E-2,1.490401030E-1,1.055880934E-1
8.973789220E-1,1.533600036E-2,1.383900940E-1,9.600309283E-2
9.024254320E-1,3.621000098E-3,1.181550920E-1,9.174308926E-2
9.074806400E-1,-6.390000344E-4,9.046509117E-2,8.641809225E-2
9.125351200E-1,3.621000098E-3,5.958009511E-2,7.576809078E-2
9.175674110E-1,1.214100048E-2,3.082509525E-2,6.405308843E-2
9.226338170E-1,2.705099992E-2,4.200093914E-3,5.127309263E-2
9.276777760E-1,3.557099774E-2,-2.348990552E-2,3.423309326E-2
9.327416820E-1,4.941599816E-2,-4.372490570E-2,1.825809292E-2
9.377876200E-1,6.432600319E-2,-6.076490507E-2,3.348093713E-3
9.428382450E-1,7.391099632E-2,-7.141491026E-2,-7.301906124E-3
9.478940780E-1,8.456099778E-2,-8.099991083E-2,-1.156190597E-2
9.529418380E-1,9.095100313E-2,-8.738990873E-2,-9.431906044E-3
9.579993380E-1,9.627600014E-2,-8.845490962E-2,-5.171906203E-3
9.630236090E-1,1.016009971E-1,-8.419490606E-2,2.283093752E-3
9.680951720E-1,1.026659980E-1,-7.567490637E-2,9.738094173E-3
9.731155880E-1,1.047959998E-1,-5.969990417E-2,1.932309382E-2
9.781854840E-1,1.037309989E-1,-3.839990497E-2,2.145309374E-2
9.832353800E-1,9.840600193E-2,-7.514906116E-3,1.932309382E-2
9.882787650E-1,9.414599836E-2,2.124009468E-2,2.145309374E-2
9.934031920E-1,8.669099957E-2,4.360509291E-2,2.571309358E-2
9.983977760E-1,8.349599689E-2,6.277509034E-2,3.103809431E-2
1.003448349E0,8.243099600E-2,7.768508792E-2,3.955809027E-2
1.008494703E0,8.136600256E-2,9.472508729E-2,4.701309651E-2
1.013545276E0,7.923600078E-2,1.075050905E-1,5.340309441E-2
1.018594911E0,7.710599899E-2,1.192200929E-1,5.979309231E-2
1.023645067E0,7.178100199E-2,1.192200929E-1,6.085809320E-2
1.028697932E0,6.113100052E-2,1.181550920E-1,5.979309231E-2
1.033755901E0,5.048099905E-2,1.117650941E-1,4.807809740E-2
1.038813401E0,3.663599864E-2,1.032450944E-1,3.529809415E-2
1.043848297E0,2.066100016E-2,9.685508907E-2,1.719309390E-2
1.048914338E0,3.621000098E-3,9.153009206E-2,-3.041906282E-3
1.053965849E0,-1.235399954E-2,7.875008881E-2,-1.688690670E-2
1.059004026E0,-2.513400093E-2,6.490509212E-2,-2.966690622E-2
1.064061161E0,-3.578399867E-2,4.893009365E-2,-3.925190866E-2
