"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.847883910E-1,-6.763169765E-1,1.182778478E0,9.805179596E0
6.898331300E-1,-6.140339971E-1,1.197151542E0,9.867463112E0
6.948917240E-1,-5.134230256E-1,1.163614511E0,9.939328194E0
6.999417240E-1,-3.625065088E-1,1.125286460E0,9.994424820E0
7.050166720E-1,-2.618955076E-1,1.091749549E0,1.002796173E1
7.100311510E-1,-2.067990005E-1,1.063003540E0,9.977656364E0
7.151107340E-1,-1.373295039E-1,1.086958528E0,9.936932564E0
7.201675570E-1,-1.109789982E-1,1.146846056E0,9.901000023E0
7.251951610E-1,-1.085835025E-1,1.158823490E0,9.814762115E0
7.302663590E-1,-8.941949904E-2,1.132472992E0,9.659054756E0
7.353179740E-1,-1.349339932E-1,1.127681971E0,9.587189674E0
7.403602660E-1,-2.044035047E-1,1.122890949E0,9.460227966E0
7.454254740E-1,-2.307540029E-1,1.074980974E0,9.407526970E0
7.504684430E-1,-2.810595036E-1,1.031862020E0,9.364407539E0
7.555206300E-1,-3.002234995E-1,1.041443944E0,9.338057518E0
7.605679740E-1,-2.714774907E-1,1.091749549E0,9.342848778E0
7.656029220E-1,-2.762685120E-1,1.166010022E0,9.421899796E0
7.706791200E-1,-3.217830062E-1,1.206733465E0,9.527301788E0
7.757230260E-1,-3.145965040E-1,1.233083963E0,9.668636322E0
7.807714640E-1,-1.996124983E-1,1.240270495E0,9.829134941E0
7.858220360E-1,-9.181500226E-2,1.254643559E0,9.996820450E0
7.908483910E-1,-1.036799978E-2,1.175591946E0,1.018127346E1
7.959273490E-1,-3.181499895E-3,9.983249903E-1,1.029625797E1
8.009775050E-1,1.609500032E-3,7.875210047E-1,1.038489056E1
8.060236510E-1,7.347449660E-2,6.964920163E-1,1.041842842E1
8.110765160E-1,1.261754930E-1,6.078584790E-1,1.044477844E1
8.161307340E-1,1.525260061E-1,5.335980058E-1,1.044956970E1
8.211764640E-1,2.004359961E-1,5.216205120E-1,1.043519688E1
8.261956820E-1,2.459505051E-1,5.216205120E-1,1.039447308E1
8.312765680E-1,3.082334995E-1,5.886945128E-1,1.039686871E1
8.363130780E-1,3.010469973E-1,7.012829781E-1,1.038010025E1
8.413484950E-1,2.315775007E-1,8.977140188E-1,1.037291336E1
8.464360990E-1,1.812720001E-1,1.027070999E0,1.037530899E1
8.514822450E-1,1.573169976E-1,1.103726983E0,1.029865265E1
8.565342240E-1,1.932494938E-1,1.130077481E0,1.021241474E1
8.615534950E-1,1.836674958E-1,1.127681971E0,1.010701275E1
8.666408390E-1,1.381530017E-1,1.089354038E0,1.001358891E1
8.716635990E-1,2.556449920E-2,1.082167506E0,9.968073845E0
8.767867240E-1,-7.744199783E-2,1.022279978E0,9.924955368E0
8.818076090E-1,-1.253519952E-1,9.839519858E-1,9.819553375E0
8.868256300E-1,-2.403360009E-1,8.809455037E-1,9.795598030E0
8.918927140E-1,-3.265739977E-1,8.066849709E-1,9.826739311E0
8.969290680E-1,-3.433425128E-1,7.659615278E-1,9.857880592E0
9.019758390E-1,-3.026190102E-1,7.348200083E-1,9.862671852E0
9.070386510E-1,-2.954325080E-1,6.797235012E-1,9.848299026E0
9.120754220E-1,-2.307540029E-1,6.006720066E-1,9.848299026E0
9.171321930E-1,-2.858504951E-1,4.737105072E-1,9.951305389E0
9.221806820E-1,-3.888570070E-1,4.162184894E-1,1.009263992E1
9.272266720E-1,-3.816705048E-1,4.162184894E-1,1.013096809E1
9.322684430E-1,-2.978279889E-1,5.024564862E-1,1.016929626E1
9.373603180E-1,-2.810595036E-1,5.839034915E-1,1.013096809E1
9.423731300E-1,-1.428503990E0,9.623925090E-1,9.819553375E0
9.474315160E-1,-2.250160456E0,1.173196554E0,9.211095810E0
9.524964110E-1,-1.488391519E0,1.115704536E0,8.899681091E0
9.575372970E-1,-4.846769869E-1,1.187569499E0,8.492445946E0
9.625879220E-1,3.777030110E-1,1.312135458E0,8.329551697E0
9.676364110E-1,9.909510016E-1,1.585222483E0,8.475677490E0
9.726990160E-1,1.177800059E0,1.836750031E0,8.703249931E0
9.777483910E-1,1.196964025E0,2.025994539E0,8.966754913E0
9.827908910E-1,1.146658540E0,1.961315989E0,9.184745789E0
9.878413590E-1,1.120308042E0,1.645110011E0,9.232655525E0
9.929008910E-1,1.074793458E0,1.285784960E0,9.165581703E0
9.979406820E-1,9.909510016E-1,9.360420108E-1,9.086529732E0
1.003006151E0,8.999220133E-1,6.342089772E-1,8.957173347E0
1.008041724E0,8.735715151E-1,3.802860081E-1,8.873330116E0
1.013088859E0,9.047129750E-1,2.820704877E-1,8.851771355E0
1.018143807E0,9.502274990E-1,2.413470000E-1,8.947590828E0
1.023204641E0,1.002928495E0,2.988390028E-1,9.024247169E0
1.028271203E0,1.043652058E0,3.539355099E-1,9.191931725E0
1.033326464E0,1.072397947E0,4.473600090E-1,9.400340080E0
1.038373234E0,1.115517020E0,5.383890271E-1,9.618330956E0
1.043430474E0,1.096353054E0,6.653504968E-1,9.853090286E0
1.048471672E0,9.669960141E-1,7.515885234E-1,1.009743118E1
1.053499380E0,8.448255062E-1,8.066849709E-1,1.034895897E1
1.058553234E0,6.939089894E-1,7.180514932E-1,1.057653141E1
1.063601516E0,5.094555020E-1,5.862990022E-1,1.074900723E1
1.068656724E0,3.202109933E-1,4.305914938E-1,1.085440922E1
1.073708130E0,2.243909985E-1,2.293695062E-1,1.086159515E1
1.078759484E0,2.387640029E-1,1.143855006E-1,1.084482670E1
1.083810839E0,3.321884871E-1,5.210249871E-2,1.077056694E1
1.088862245E0,4.256129861E-1,-2.694899961E-2,1.068911934E1
1.093913651E0,4.591499865E-1,2.814750001E-2,1.066755962E1
1.098958651E0,5.238285065E-1,9.761700034E-2,1.072265625E1
1.104010057E0,5.693429708E-1,1.551090032E-1,1.074900723E1
1.109061411E0,5.477834940E-1,2.197874933E-1,1.081847668E1
1.114112818E0,3.968670070E-1,2.820704877E-1,1.079212570E1
1.119164172E0,2.770920098E-1,2.820704877E-1,1.078733540E1
1.124215578E0,1.357575059E-1,2.748839855E-1,1.070109653E1
1.129264693E0,7.586999983E-2,3.132120073E-1,1.054299355E1
1.134316047E0,3.754200041E-2,4.138230085E-1,1.035374928E1
1.139367453E0,-5.576999858E-3,5.192250013E-1,1.026511574E1
1.144418807E0,-7.025550306E-2,6.198359728E-1,1.013336372E1
1.149470214E0,-1.133745015E-1,5.934854746E-1,9.944119453E0
1.154521620E0,-1.517024934E-1,4.689194858E-1,9.711755753E0
1.159587141E0,-2.355449945E-1,4.018455148E-1,9.546465874E0
1.164638547E0,-3.050144911E-1,3.683085144E-1,9.397945404E0
1.169689953E0,-3.026190102E-1,3.683085144E-1,9.369198799E0
1.174741307E0,-3.050144911E-1,4.593375027E-1,9.390758514E0
1.179792661E0,-1.373295039E-1,5.072475076E-1,9.400340080E0
1.184844068E0,-3.671849892E-2,5.743215084E-1,9.457832336E0
1.189896411E0,-3.181499895E-3,6.533730030E-1,9.529697418E0
1.194947818E0,2.316899970E-2,7.276334763E-1,9.577607155E0
1.199999224E0,9.742949903E-2,7.300289869E-1,9.580002785E0
1.205050578E0,9.742949903E-2,7.204470038E-1,9.599166870E0
1.210101932E0,9.742949903E-2,7.300289869E-1,9.601562500E0
1.215153339E0,1.357575059E-1,8.474084735E-1,9.570421219E0
1.220208182E0,2.483460009E-1,9.216690063E-1,9.532093048E0
1.225259589E0,2.531369925E-1,1.007907033E0,9.484183311E0
1.230310995E0,2.028315067E-1,1.103726983E0,9.500951767E0
1.235362349E0,1.884585023E-1,1.134868503E0,9.534488678E0
1.240413755E0,1.980405003E-1,1.103726983E0,9.548861504E0
1.245465161E0,1.716900021E-1,1.046234965E0,9.527301788E0
1.250457141E0,1.309664994E-1,9.863474965E-1,9.544070244E0
1.255508547E0,1.189889982E-1,8.905274868E-1,9.556048393E0
1.260559901E0,7.826550305E-2,8.162670135E-1,9.524906158E0
1.265611307E0,-1.276350021E-2,7.467975020E-1,9.580002785E0
1.270662714E0,-1.229564995E-1,7.300289869E-1,9.651867867E0
1.275714068E0,-1.373295039E-1,7.372155190E-1,9.711755753E0
1.280754172E0,-2.020079941E-1,7.659615278E-1,9.726128578E0
1.285805578E0,-2.451270074E-1,7.611705065E-1,9.795598030E0
1.290856932E0,-2.523134947E-1,7.563794851E-1,9.836321831E0
1.295908339E0,-2.475225031E-1,7.587749958E-1,9.951305389E0
1.300959745E0,-1.972170025E-1,7.851254940E-1,1.005910301E1
1.306011099E0,-1.515899971E-2,8.258489966E-1,1.018606472E1
1.311099797E0,2.411594987E-1,8.378264904E-1,1.023157883E1
1.316151151E0,4.759185016E-1,8.282445073E-1,1.021960163E1
1.321202505E0,6.052755117E-1,8.977140188E-1,1.008545303E1
1.326253911E0,7.178639770E-1,8.881319761E-1,9.994424820E0
1.331305266E0,7.681695223E-1,8.450130224E-1,9.843507767E0
1.336356672E0,7.537965178E-1,8.450130224E-1,9.718941689E0
1.341402818E0,7.250505090E-1,8.833410144E-1,9.683009148E0
1.346454224E0,6.412079930E-1,8.833410144E-1,9.620726585E0
1.351505578E0,5.286195278E-1,8.929229975E-1,9.522510529E0
1.356556984E0,4.280084968E-1,8.905274868E-1,9.445855141E0
1.361608339E0,3.537479937E-1,8.761544824E-1,9.417108536E0
1.366659745E0,2.842785120E-1,9.025049806E-1,9.354825974E0
1.371699641E0,2.219955027E-1,8.258489966E-1,9.333266258E0
1.376751047E0,1.740854979E-1,7.587749958E-1,9.316497803E0
1.381802401E0,1.118025035E-1,6.917009950E-1,9.326080322E0
1.386853807E0,1.094070002E-1,6.485819817E-1,9.429086685E0
1.391905161E0,1.070114970E-1,6.509774923E-1,9.522510529E0
1.396956568E0,1.597124934E-1,6.845145226E-1,9.632703781E0
1.402005370E0,2.172044963E-1,7.396110296E-1,9.726128578E0
1.407056776E0,2.794874907E-1,7.755435109E-1,9.833926201E0
1.412108130E0,3.010469973E-1,7.731480002E-1,9.879440308E0
1.417159536E0,2.675099969E-1,7.491930127E-1,9.843507767E0
1.422210943E0,1.525260061E-1,6.940965056E-1,9.795598030E0
1.427262297E0,2.556449920E-2,6.845145226E-1,9.781225204E0
1.432279380E0,-1.036799978E-2,7.036784887E-1,9.704568863E0
1.437330786E0,-5.109149963E-2,7.084695101E-1,9.678218842E0
1.442382141E0,-3.432299942E-2,7.036784887E-1,9.618330956E0
1.447433547E0,2.077350020E-2,7.324244976E-1,9.620726585E0
1.452484953E0,1.764809936E-1,7.731480002E-1,9.680614471E0
1.457536307E0,2.914650142E-1,8.474084735E-1,9.726128578E0
1.462604276E0,3.705165088E-1,8.905274868E-1,9.790806770E0
1.467655630E0,4.232175052E-1,9.216690063E-1,9.845903397E0
1.472707036E0,4.902915061E-1,9.072960019E-1,9.956096649E0
1.477758391E0,5.214329958E-1,9.168779850E-1,9.972865105E0
1.482809797E0,4.519635141E-1,8.641769886E-1,9.936932564E0
1.487861151E0,3.513525128E-1,7.851254940E-1,9.867463112E0
1.492910891E0,1.621080041E-1,7.180514932E-1,9.759665489E0
1.497962297E0,-3.181499895E-3,6.102539897E-1,9.630308151E0
1.503013651E0,-1.133745015E-1,5.934854746E-1,9.560838699E0
1.508065057E0,-1.349339932E-1,6.318135262E-1,9.568025589E0
1.513116411E0,-6.546449661E-2,6.940965056E-1,9.580002785E0
1.518167818E0,8.795999922E-3,7.707524896E-1,9.675823212E0
1.523213078E0,8.784750104E-2,7.947074771E-1,9.764456749E0
1.528264484E0,1.597124934E-1,7.420064807E-1,9.821948051E0
1.533315839E0,1.812720001E-1,7.444019914E-1,9.905791283E0
1.538367245E0,2.100179940E-1,7.923120260E-1,9.941723824E0
1.543418599E0,2.699055076E-1,7.923120260E-1,1.000161076E1
1.548470005E0,3.058379889E-1,7.971029878E-1,9.999215126E0
1.553520891E0,2.938604951E-1,8.330355287E-1,1.008545303E1
1.558572297E0,2.435549945E-1,8.042895198E-1,1.006628990E1
1.563623651E0,1.309664994E-1,7.156559825E-1,1.001358891E1
1.568675057E0,-1.036799978E-2,6.198359728E-1,9.951305389E0
1.573726411E0,-9.421049803E-2,5.216205120E-1,9.821948051E0
1.578777818E0,-1.109789982E-1,4.808970094E-1,9.778829575E0
1.583821776E0,-9.181500226E-2,4.904789925E-1,9.812366486E0
1.588873182E0,-6.067350134E-2,4.928745031E-1,9.778829575E0
1.593924536E0,-3.192749992E-2,5.264114738E-1,9.742897034E0
1.598975943E0,-3.192749992E-2,6.270225048E-1,9.778829575E0
1.604027297E0,3.514650092E-2,7.324244976E-1,9.879440308E0
1.609078703E0,1.358699985E-2,8.569905162E-1,9.862671852E0
1.614105161E0,3.275100142E-2,9.815564752E-1,9.927350044E0
1.619156516E0,1.405484974E-1,1.034257531E0,9.984842300E0
1.624207922E0,1.908539981E-1,1.041443944E0,9.934536934E0
1.629259328E0,3.082334995E-1,9.743700027E-1,9.857880592E0
1.634310682E0,3.561435044E-1,9.552059770E-1,9.747688293E0
1.639362036E0,3.920759857E-1,8.953185081E-1,9.663845062E0
1.644421099E0,3.393749893E-1,8.234534860E-1,9.570421219E0
1.649472505E0,2.866739929E-1,7.947074771E-1,9.529697418E0
1.654523859E0,1.836674958E-1,8.138715029E-1,9.517720222E0
1.659575266E0,7.347449660E-2,7.539839745E-1,9.457832336E0
1.664626620E0,-1.276350021E-2,6.581640244E-1,9.457832336E0
1.669678026E0,-9.181500226E-2,6.318135262E-1,9.476996422E0
1.674729484E0,-1.397249997E-1,5.934854746E-1,9.484183311E0
1.679780839E0,-1.564934999E-1,5.599485040E-1,9.510533333E0
1.684832245E0,-2.067990005E-1,6.174405217E-1,9.577607155E0
1.689883599E0,-2.547090054E-1,7.180514932E-1,9.723732948E0
1.694935005E0,-2.810595036E-1,7.683569789E-1,9.857880592E0
1.699986359E0,-2.618955076E-1,8.498039842E-1,9.956096649E0
1.705038443E0,-2.044035047E-1,8.665724993E-1,1.007587147E1
1.710089797E0,-7.025550306E-2,8.737589717E-1,1.013336372E1
1.715141203E0,4.472849891E-2,8.833410144E-1,1.009982681E1
1.720192557E0,5.910149962E-2,8.450130224E-1,1.000161076E1
1.725243964E0,3.514650092E-2,7.923120260E-1,9.929745674E0
1.730295318E0,-7.859999896E-4,7.420064807E-1,9.817157745E0
1.735340578E0,-4.869600013E-2,7.108650208E-1,9.723732948E0
