"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.302663590E-1,-2.515030801E-1,-1.486390680E-1,-7.620241493E-2
7.353179740E-1,-2.664130926E-1,-1.539640576E-1,-8.472241461E-2
7.403602660E-1,-2.823880911E-1,-1.603540629E-1,-9.004741162E-2
7.454254740E-1,-3.004930913E-1,-1.646140665E-1,-8.898241073E-2
7.504684430E-1,-3.175330758E-1,-1.805890650E-1,-8.365741372E-2
7.555206300E-1,-3.345730901E-1,-2.029540539E-1,-7.407241315E-2
7.605679740E-1,-3.516130745E-1,-2.327740639E-1,-6.981241703E-2
7.656029220E-1,-3.665230870E-1,-2.689840496E-1,-6.981241703E-2
7.706791200E-1,-3.814330697E-1,-3.137140572E-1,-7.513741404E-2
7.757230260E-1,-3.920830786E-1,-3.605740368E-1,-7.726741582E-2
7.807714640E-1,-3.931480646E-1,-4.010440409E-1,-8.152741194E-2
7.858220360E-1,-3.867580891E-1,-4.234090447E-1,-8.791741729E-2
7.908483910E-1,-3.697180748E-1,-4.287340343E-1,-1.038924158E-1
7.959273490E-1,-3.484180868E-1,-4.223440588E-1,-1.134774163E-1
8.009775050E-1,-3.196630776E-1,-4.170190394E-1,-1.166724116E-1
8.060236510E-1,-2.823880911E-1,-4.234090447E-1,-1.124124154E-1
8.110765160E-1,-2.419180721E-1,-4.297990501E-1,-1.049574167E-1
8.161307340E-1,-1.971880794E-1,-4.212790430E-1,-9.643741697E-2
8.211764640E-1,-1.492630839E-1,-4.063690603E-1,-8.578741550E-2
8.261956820E-1,-1.045330763E-1,-3.829390407E-1,-7.726741582E-2
8.312765680E-1,-6.512808055E-2,-3.584440351E-1,-7.300741225E-2
8.363130780E-1,-3.424307704E-2,-3.360790312E-1,-7.407241315E-2
8.413484950E-1,-7.618078031E-3,-3.094540536E-1,-7.620241493E-2
8.464360990E-1,1.261692215E-2,-2.849590480E-1,-8.046241105E-2
8.514822450E-1,2.326692268E-2,-2.615290582E-1,-8.685241640E-2
8.565342240E-1,3.072192147E-2,-2.359690666E-1,-9.643741697E-2
8.615534950E-1,3.285191953E-2,-2.146690637E-1,-1.049574167E-1
8.666408390E-1,2.646192163E-2,-2.029540539E-1,-1.113474146E-1
8.716635990E-1,2.113692090E-2,-1.837840676E-1,-1.102824137E-1
8.767867240E-1,2.220192179E-2,-1.646140665E-1,-1.028274149E-1
8.818076090E-1,2.539692074E-2,-1.539640576E-1,-8.898241073E-2
8.868256300E-1,2.965692058E-2,-1.560940593E-1,-7.300741225E-2
8.918927140E-1,3.498192132E-2,-1.592890620E-1,-5.383741483E-2
8.969290680E-1,4.350192100E-2,-1.667440534E-1,-2.508241311E-2
9.019758390E-1,5.308692157E-2,-1.667440534E-1,-3.782414133E-3
9.070386510E-1,5.841192231E-2,-1.603540629E-1,1.219258644E-2
9.120754220E-1,6.480192393E-2,-1.592890620E-1,2.710258588E-2
9.171321930E-1,7.864692062E-2,-1.678090543E-1,5.266258493E-2
9.221806820E-1,9.781692177E-2,-1.773940623E-1,9.100258350E-2
9.272266720E-1,1.276369244E-1,-1.752640605E-1,1.399925798E-1
9.322684430E-1,1.691719145E-1,-1.614190638E-1,1.911125779E-1
9.373603180E-1,2.107069194E-1,-1.390540600E-1,2.379725724E-1
9.423731300E-1,2.554369271E-1,-6.982905418E-2,2.858975828E-1
9.474315160E-1,2.809969187E-1,2.123959363E-1,3.785525858E-1
9.524964110E-1,2.799319327E-1,4.722559452E-1,5.095475912E-1
