"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.311896750E0,1.035564367E-1,4.637688397E-1,3.189650291E-1,5.723147404E-1
1.321859750E0,1.818513487E-1,5.122763175E-1,2.429839700E-1,5.954310608E-1
1.331821750E0,1.989862487E-1,6.445165812E-1,1.471586305E-1,6.904004730E-1
1.341784750E0,1.821584006E-1,7.830883563E-1,5.166307390E-2,8.056538524E-1
1.351747750E0,1.457529598E-1,9.591908504E-1,1.830178499E-2,9.703741382E-1
1.361709750E0,1.000133438E-1,1.071504022E0,3.059906423E-2,1.076596415E0
1.371672750E0,8.601827069E-2,1.163582539E0,1.429234922E-2,1.166845208E0
1.381635750E0,7.306980349E-2,1.297675055E0,-6.341831625E-2,1.301276922E0
1.391597750E0,2.306535627E-2,1.368456916E0,-1.054024941E-1,1.372703911E0
1.401560750E0,-4.913783505E-2,1.396377663E0,3.323440433E-2,1.397637160E0
1.411523750E0,-6.716267215E-2,1.352798803E0,2.246617198E-1,1.372970617E0
1.421485750E0,-2.812236641E-3,1.254783828E0,3.163583404E-1,1.294052921E0
1.431448750E0,8.855684850E-2,1.138169590E0,3.176330334E-1,1.184973871E0
1.441411750E0,1.474395252E-1,1.070920397E0,3.258255672E-1,1.129057665E0
1.451373750E0,2.099710290E-1,1.107772328E0,1.610580468E-1,1.138941200E0
1.461336750E0,2.506057608E-1,1.140842791E0,-1.501898271E-1,1.177659758E0
1.471299750E0,2.601489467E-1,1.251054912E0,-3.570689946E-1,1.326768305E0
1.481261750E0,2.863725760E-1,1.414004095E0,-4.678269535E-1,1.516667033E0
1.491224750E0,2.575859659E-1,1.473201598E0,-5.310213214E-1,1.587027764E0
1.501187750E0,2.404633267E-1,1.503872583E0,-6.057996082E-1,1.639038902E0
1.511149750E0,2.487574011E-1,1.568684291E0,-6.815619814E-1,1.728345273E0
1.521112750E0,1.834033093E-1,1.566064446E0,-6.298761034E-1,1.697921826E0
1.531075750E0,1.403829501E-1,1.577257332E0,-4.825648606E-1,1.655390259E0
1.541038750E0,1.770939444E-1,1.519408928E0,-3.928633100E-1,1.579337625E0
1.551000750E0,2.250712076E-1,1.459358900E0,-4.329085511E-1,1.538764199E0
1.560963750E0,2.661099272E-1,1.467235538E0,-4.525511026E-1,1.558331517E0
1.570926750E0,2.756616464E-1,1.466926805E0,-4.500093180E-1,1.558965035E0
1.580888750E0,2.776179420E-1,1.501342932E0,-4.531323159E-1,1.592617724E0
1.590851750E0,3.056422396E-1,1.518739421E0,-4.912877369E-1,1.625223138E0
1.600814750E0,3.311766466E-1,1.533141844E0,-5.547715420E-1,1.663722738E0
1.610776750E0,3.746690407E-1,1.546566905E0,-6.319255525E-1,1.712184566E0
1.620739750E0,3.791563401E-1,1.559371869E0,-6.553822428E-1,1.733472250E0
1.630702750E0,3.538245574E-1,1.598369143E0,-5.914248133E-1,1.740620305E0
1.640664750E0,3.917572360E-1,1.617922963E0,-5.594826436E-1,1.756180308E0
1.650627750E0,4.262976891E-1,1.569656829E0,-5.745228517E-1,1.725001098E0
1.660590750E0,4.176689895E-1,1.549995859E0,-5.795345002E-1,1.706691180E0
1.670552750E0,3.892352588E-1,1.605300725E0,-5.266236305E-1,1.733732088E0
1.680515750E0,3.284781201E-1,1.625504024E0,-4.837600315E-1,1.727479371E0
1.690478750E0,3.094377221E-1,1.621081921E0,-4.792506588E-1,1.718528293E0
1.700440750E0,3.163138650E-1,1.632219990E0,-4.556068575E-1,1.723883455E0
1.710403750E0,3.192672205E-1,1.639049976E0,-4.108768272E-1,1.719661638E0
1.720366750E0,3.241967522E-1,1.611380660E0,-2.660009497E-1,1.665054855E0
1.730329750E0,3.564528808E-1,1.548267860E0,-1.095721436E-1,1.592544530E0
1.740291750E0,3.981616914E-1,1.507892544E0,-2.705272794E-2,1.559809125E0
1.750254750E0,4.114505487E-1,1.474325141E0,6.718158424E-2,1.532135614E0
1.760217750E0,4.033288393E-1,1.379305255E0,2.362988484E-1,1.456363377E0
1.770179750E0,4.318302514E-1,1.292095788E0,4.377652484E-1,1.430953285E0
1.780142750E0,4.470452913E-1,1.196578743E0,6.381949371E-1,1.427915599E0
1.790105750E0,4.962569566E-1,1.151478803E0,8.027402633E-1,1.488813733E0
1.800067750E0,5.918143475E-1,1.094652491E0,9.706641108E-1,1.578194258E0
1.810030750E0,7.879585022E-1,1.091147305E0,1.034554882E0,1.697582059E0
1.819993750E0,1.199903908E0,1.498372400E0,8.326639742E-1,2.092419301E0
1.829955750E0,1.352392422E0,1.873508121E0,3.186475253E-1,2.332495271E0
1.839918750E0,9.842634188E-1,1.676938911E0,2.013044322E-1,1.954845790E0
1.849881750E0,4.738669080E-1,1.567407551E0,6.995339835E-1,1.780635862E0
1.859843750E0,1.082160281E-1,1.466672159E0,1.189257005E0,1.891340835E0
1.869806750E0,-1.436195667E-1,1.153399248E0,1.509362826E0,1.905028227E0
1.879769750E0,-4.287489881E-1,7.178946061E-1,1.768024351E0,1.955788451E0
1.889732750E0,-6.912924792E-1,2.449994322E-1,2.154537585E0,2.275948641E0
1.899694750E0,-7.108202060E-1,-2.716153914E-1,2.468785665E0,2.583397559E0
1.909657750E0,-4.021127281E-1,-6.834612302E-1,2.304875931E0,2.437471427E0
1.919620750E0,-3.362662459E-2,-7.189448391E-1,1.964180894E0,2.091893644E0
1.929582750E0,1.885347162E-1,-7.665141311E-1,1.655107015E0,1.833703489E0
1.939545750E0,2.590353079E-1,-7.397552989E-1,1.415017417E0,1.617594351E0
1.949508750E0,2.316122320E-1,-5.992161550E-1,1.246935695E0,1.402694854E0
1.959470750E0,8.705336491E-2,-5.838164894E-1,1.189192686E0,1.327629175E0
1.969433750E0,8.157541919E-3,-5.460915330E-1,1.262511508E0,1.375579084E0
1.979396750E0,2.543032659E-2,-5.564832778E-1,1.053095818E0,1.191356849E0
1.989358750E0,1.078229855E-1,-5.703961793E-1,5.283690244E-1,7.849531346E-1
1.999321750E0,1.839525639E-1,-4.416894245E-1,-1.583817762E-1,5.039969052E-1
2.009284750E0,1.128699366E-1,-1.603318592E-1,-8.425118548E-1,8.650272557E-1
2.019246750E0,-9.877381632E-2,1.838279451E-1,-1.344812822E0,1.360907972E0
2.029209750E0,-4.028358094E-1,4.408008304E-1,-1.678794086E0,1.781833787E0
2.039172750E0,-6.713324238E-1,6.109814107E-1,-1.785206394E0,2.002734974E0
2.049135750E0,-7.903698939E-1,6.133642242E-1,-1.661194552E0,1.939192507E0
2.059097750E0,-8.165668087E-1,4.959690543E-1,-1.321728015E0,1.630868358E0
