"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.588393790E-1,-5.086320043E-1,2.656011105E0,8.997896194E0
6.638870870E-1,-4.295805097E-1,2.644033432E0,8.985918999E0
6.689404730E-1,-4.032300115E-1,2.656011105E0,9.055388451E0
6.739867230E-1,-3.912524879E-1,2.629660606E0,9.213491440E0
6.790376080E-1,-3.984389901E-1,2.596123457E0,9.373990059E0
6.840932850E-1,-4.080210030E-1,2.541027069E0,9.603958130E0
6.891833890E-1,-4.415580034E-1,2.517071962E0,9.762061119E0
6.941931290E-1,-4.607219994E-1,2.459579945E0,9.800389290E0
6.992488580E-1,-4.942589998E-1,2.457184553E0,9.960887909E0
7.043134930E-1,-5.182139874E-1,2.416460991E0,1.005191612E1
7.093506290E-1,-5.733104944E-1,2.387715101E0,1.006149864E1
7.144060980E-1,-5.757060051E-1,2.394901514E0,9.994424820E0
7.194495870E-1,-5.565419793E-1,2.361364603E0,9.905791283E0
7.244908890E-1,-4.966545105E-1,2.385319471E0,9.747688293E0
7.295403160E-1,-4.703040123E-1,2.387715101E0,9.551257133E0
7.346248480E-1,-4.391624928E-1,2.406878948E0,9.350034714E0
7.396683370E-1,-3.385514915E-1,2.469161987E0,9.215887070E0
7.447248480E-1,-2.762685120E-1,2.524258614E0,9.002687454E0
7.497723480E-1,-2.547090054E-1,2.593728065E0,8.787092209E0
7.548240660E-1,-2.067990005E-1,2.612891912E0,8.720018387E0
7.598796910E-1,-2.067990005E-1,2.656011105E0,8.676899910E0
7.649067750E-1,-2.115900069E-1,2.656011105E0,8.724809647E0
7.700339100E-1,-2.187764943E-1,2.632055998E0,8.844584465E0
7.750341710E-1,-1.780530065E-1,2.651220083E0,8.959568024E0
7.800922430E-1,-1.684709936E-1,2.679965973E0,9.038619995E0
7.851291180E-1,-2.427314967E-1,2.648824453E0,9.132044792E0
7.901663060E-1,-2.547090054E-1,2.629660606E0,9.290147781E0
7.952252640E-1,-2.690820098E-1,2.610496521E0,9.381176949E0
8.002665140E-1,-2.954325080E-1,2.555399895E0,9.462623596E0
8.053177640E-1,-3.217830062E-1,2.526654005E0,9.524906158E0
8.103660460E-1,-3.409470022E-1,2.483535051E0,9.486578941E0
8.154150560E-1,-4.080210030E-1,2.466766596E0,9.512928963E0
8.204675560E-1,-4.942589998E-1,2.428438425E0,9.462623596E0
8.255205770E-1,-5.613330007E-1,2.414065599E0,9.424295425E0
8.305737020E-1,-5.900790095E-1,2.399692535E0,9.412318230E0
8.356238060E-1,-5.637285113E-1,2.435625076E0,9.400340080E0
8.406707850E-1,-4.750950038E-1,2.514676571E0,9.369198799E0
8.457122430E-1,-3.457379937E-1,2.593728065E0,9.275774956E0
8.507995870E-1,-1.924259961E-1,2.672779560E0,9.206304550E0
8.558341710E-1,-6.546449661E-2,2.732666969E0,9.120066643E0
8.608803680E-1,2.316899970E-2,2.797345400E0,9.045806885E0
8.659335460E-1,1.141979992E-1,2.857233047E0,9.093716621E0
8.709896390E-1,1.213845015E-1,2.859628439E0,9.136835098E0
8.760342750E-1,9.503400326E-2,2.845255613E0,9.263796806E0
8.810823480E-1,6.628800184E-2,2.862024069E0,9.282960892E0
8.861421390E-1,3.035550006E-2,2.883583546E0,9.259005547E0
8.911906290E-1,-1.995000057E-2,2.842859983E0,9.232655525E0
8.962640660E-1,-1.037925035E-1,2.830882549E0,9.179954529E0
9.013813060E-1,-1.564934999E-1,2.876396894E0,9.079343796E0
9.063344830E-1,-1.780530065E-1,2.828486919E0,8.935613632E0
