"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.761405880E-1,-4.032300115E-1,2.011621475E0,1.039447308E1
7.812001720E-1,-4.128119946E-1,1.978084445E0,1.039207745E1
7.862478280E-1,-3.553200066E-1,2.014017105E0,1.042321873E1
7.913312130E-1,-2.714774907E-1,2.037971973E0,1.045915127E1
7.963656400E-1,-2.115900069E-1,2.085881948E0,1.046873379E1
8.014014220E-1,-2.451270074E-1,2.109837055E0,1.045436096E1
8.064392340E-1,-2.451270074E-1,2.162538052E0,1.041363716E1
8.114911090E-1,-2.690820098E-1,2.215239048E0,1.036572742E1
8.165387130E-1,-3.122009933E-1,2.210448027E0,1.029625797E1
8.215893900E-1,-2.930369973E-1,2.263149023E0,1.023876572E1
8.266405360E-1,-2.738730013E-1,2.260753393E0,1.016929626E1
8.317041820E-1,-1.948215067E-1,2.224821091E0,1.011419964E1
8.367415780E-1,-1.229564995E-1,2.234402895E0,1.005191612E1
8.418154840E-1,-7.744199783E-2,2.222425461E0,9.960887909E0
8.468550670E-1,8.795999922E-3,2.251171589E0,9.936932564E0
8.519037130E-1,1.022204980E-1,2.267940044E0,9.896208763E0
8.569555880E-1,2.028315067E-1,2.296685934E0,9.857880592E0
8.620147550E-1,2.675099969E-1,2.339804888E0,9.819553375E0
8.671090780E-1,2.866739929E-1,2.311058998E0,9.716546059E0
8.721242340E-1,2.794874907E-1,2.356573582E0,9.608749390E0
8.771720990E-1,2.219955027E-1,2.421252012E0,9.510533333E0
8.822192340E-1,1.501304954E-1,2.433229446E0,9.359617233E0
8.872725670E-1,6.389249861E-2,2.493117094E0,9.304520607E0
8.923287650E-1,1.598249935E-2,2.521862984E0,9.263796806E0
8.973789220E-1,-7.983750105E-2,2.531445026E0,9.211095810E0
9.024254320E-1,-1.181655005E-1,2.512280941E0,9.172767639E0
9.074806400E-1,-1.037925035E-1,2.507489920E0,9.165581703E0
9.125351200E-1,-1.013970003E-1,2.502698898E0,9.191931725E0
9.175674110E-1,-6.067350134E-2,2.466766596E0,9.249423981E0
9.226338170E-1,1.119150035E-2,2.442811489E0,9.314102173E0
9.276777760E-1,2.077350020E-2,2.447602510E0,9.362012863E0
9.327416820E-1,8.795999922E-3,2.512280941E0,9.433877945E0
9.377876200E-1,-3.432299942E-2,2.512280941E0,9.467414856E0
9.428382450E-1,-1.085835025E-1,2.493117094E0,9.534488678E0
9.478940780E-1,-1.708665043E-1,2.466766596E0,9.575211525E0
9.529418380E-1,-2.163809985E-1,2.449997902E0,9.580002785E0
9.579993380E-1,-2.451270074E-1,2.447602510E0,9.591980934E0
9.630236090E-1,-2.139855027E-1,2.402087927E0,9.625517845E0
9.680951720E-1,-2.067990005E-1,2.392505884E0,9.656659126E0
9.731155880E-1,-1.564934999E-1,2.402087927E0,9.644681931E0
9.781854840E-1,-1.325384974E-1,2.378133059E0,9.606353760E0
9.832353800E-1,-1.085835025E-1,2.373342037E0,9.536884308E0
9.882787650E-1,-1.205610037E-1,2.366155386E0,9.515324593E0
9.934031920E-1,-1.517024934E-1,2.378133059E0,9.484183311E0
9.983977760E-1,-1.540980041E-1,2.414065599E0,9.455436707E0
1.003448349E0,-1.564934999E-1,2.476348400E0,9.412318230E0
1.008494703E0,-1.660754979E-1,2.521862984E0,9.287752151E0
1.013545276E0,-1.349339932E-1,2.553004503E0,9.230259895E0
1.018594911E0,-7.265099883E-2,2.555399895E0,9.151208878E0
1.023645067E0,-3.192749992E-2,2.627264977E0,9.043411255E0
1.028697932E0,6.149699911E-2,2.696734428E0,9.017060280E0
1.033755901E0,2.076224983E-1,2.742249012E0,8.961963654E0
1.038813401E0,3.345839977E-1,2.749435425E0,8.921240807E0
1.043848297E0,3.777030110E-1,2.766204119E0,8.904472351E0
1.048914338E0,3.729119897E-1,2.790158987E0,8.858957291E0
1.053965849E0,3.729119897E-1,2.780576944E0,8.902076721E0
1.059004026E0,3.082334995E-1,2.732666969E0,8.885308266E0
1.064061161E0,2.890695035E-1,2.713502884E0,8.940404892E0
1.069112307E0,2.315775007E-1,2.711107492E0,8.957173347E0
1.074164442E0,1.836674958E-1,2.677570581E0,9.064970970E0
1.079216630E0,1.261754930E-1,2.644033432E0,9.268588066E0
1.084269182E0,8.545199782E-2,2.596123457E0,9.381176949E0
1.089321734E0,4.472849891E-2,2.572168589E0,9.476996422E0
1.094374234E0,3.275100142E-2,2.529049397E0,9.544070244E0
1.099426786E0,3.035550006E-2,2.483535051E0,9.556048393E0
1.104479338E0,2.077350020E-2,2.440416098E0,9.515324593E0
1.109527203E0,-2.953200042E-2,2.363759995E0,9.505742073E0
1.114579755E0,-1.325384974E-1,2.335014105E0,9.503347397E0
1.119632307E0,-1.732620001E-1,2.308663607E0,9.402735710E0
1.124684807E0,-2.594999969E-1,2.332618475E0,9.321289062E0
1.129737359E0,-2.906414866E-1,2.404483557E0,9.254215240E0
1.134789911E0,-2.499179989E-1,2.473953009E0,9.129649162E0
1.139835745E0,-2.163809985E-1,2.545818090E0,8.911658287E0
1.144888297E0,-1.301430017E-1,2.648824453E0,8.789487839E0
1.149940797E0,1.609500032E-3,2.723084927E0,8.648153305E0
1.154993349E0,1.022204980E-1,2.804532051E0,8.528378487E0
1.160045901E0,1.046160012E-1,2.823695898E0,8.418185234E0
1.165098453E0,8.784750104E-2,2.835673571E0,8.406208038E0
1.170134859E0,3.754200041E-2,2.826091528E0,8.387043953E0
